Frame_ID,Prev_Frame_ID,Delta_PSNR_Y,Abs_Delta_PSNR_Y
3,,0.0,0.0
4,3.0,-2.052000000000003,2.052000000000003
5,4.0,-2.8309999999999995,2.8309999999999995
6,5.0,-0.23899999999999721,0.23899999999999721
7,6.0,1.1149999999999984,1.1149999999999984
8,7.0,0.5899999999999999,0.5899999999999999
10,8.0,-0.4549999999999983,0.4549999999999983
11,10.0,2.5519999999999996,2.5519999999999996
12,11.0,-2.9770000000000003,2.9770000000000003
13,12.0,1.036999999999999,1.036999999999999
14,13.0,-0.11499999999999844,0.11499999999999844
15,14.0,2.6469999999999985,2.6469999999999985
16,15.0,-0.39000000000000057,0.39000000000000057
17,16.0,0.597999999999999,0.597999999999999
19,17.0,-2.408999999999999,2.408999999999999
20,19.0,-0.7259999999999991,0.7259999999999991
21,20.0,-1.154,1.154
22,21.0,2.7429999999999986,2.7429999999999986
23,22.0,0.36299999999999955,0.36299999999999955
24,23.0,-1.972999999999999,1.972999999999999
25,24.0,0.10300000000000153,0.10300000000000153
26,25.0,0.879999999999999,0.879999999999999
28,26.0,1.3640000000000008,1.3640000000000008
29,28.0,-2.3320000000000007,2.3320000000000007
30,29.0,-0.3240000000000016,0.3240000000000016
31,30.0,0.7010000000000005,0.7010000000000005
32,31.0,3.7510000000000012,3.7510000000000012
33,32.0,-2.997,2.997
34,33.0,1.1129999999999995,1.1129999999999995
35,34.0,2.011000000000003,2.011000000000003
37,35.0,-4.199000000000002,4.199000000000002
38,37.0,-0.7270000000000003,0.7270000000000003
39,38.0,2.384999999999998,2.384999999999998
40,39.0,0.08200000000000074,0.08200000000000074
41,40.0,-0.5509999999999984,0.5509999999999984
42,41.0,-1.4540000000000006,1.4540000000000006
43,42.0,1.1289999999999978,1.1289999999999978
44,43.0,1.147000000000002,1.147000000000002
46,44.0,-1.7459999999999987,1.7459999999999987
47,46.0,1.2219999999999978,1.2219999999999978
48,47.0,-2.196999999999999,2.196999999999999
49,48.0,0.8790000000000013,0.8790000000000013
50,49.0,0.11399999999999721,0.11399999999999721
51,50.0,-2.0429999999999993,2.0429999999999993
52,51.0,2.308,2.308
53,52.0,-1.3979999999999997,1.3979999999999997
55,53.0,-1.9519999999999982,1.9519999999999982
56,55.0,1.259999999999998,1.259999999999998
57,56.0,0.8590000000000018,0.8590000000000018
58,57.0,-0.24099999999999966,0.24099999999999966
59,58.0,-0.20300000000000296,0.20300000000000296
60,59.0,-1.1899999999999977,1.1899999999999977
61,60.0,-0.13899999999999935,0.13899999999999935
62,61.0,-0.4400000000000013,0.4400000000000013
64,62.0,3.654,3.654
65,64.0,-1.9349999999999987,1.9349999999999987
66,65.0,-0.6660000000000004,0.6660000000000004
67,66.0,-1.1090000000000018,1.1090000000000018
68,67.0,0.3410000000000011,0.3410000000000011
69,68.0,1.0249999999999986,1.0249999999999986
70,69.0,-0.14399999999999835,0.14399999999999835
71,70.0,0.16699999999999804,0.16699999999999804
73,71.0,-0.9749999999999979,0.9749999999999979
74,73.0,1.311,1.311
75,74.0,-0.9359999999999999,0.9359999999999999
76,75.0,1.0869999999999997,1.0869999999999997
77,76.0,0.945999999999998,0.945999999999998
78,77.0,-1.1329999999999991,1.1329999999999991
79,78.0,-1.3019999999999996,1.3019999999999996
80,79.0,1.1750000000000007,1.1750000000000007
82,80.0,0.4869999999999983,0.4869999999999983
83,82.0,-0.054999999999999716,0.054999999999999716
84,83.0,0.1739999999999995,0.1739999999999995
85,84.0,-1.0649999999999977,1.0649999999999977
86,85.0,0.8129999999999988,0.8129999999999988
87,86.0,0.6640000000000015,0.6640000000000015
88,87.0,0.00999999999999801,0.00999999999999801
89,88.0,-1.8719999999999999,1.8719999999999999
91,89.0,1.2379999999999995,1.2379999999999995
92,91.0,-1.1409999999999982,1.1409999999999982
93,92.0,-0.42600000000000193,0.42600000000000193
94,93.0,0.9280000000000008,0.9280000000000008
