Scene,Mean_Bits,Std_Bits,CV (%),Mean_Frame_Diff,Max_Frame_Diff,Mean_Change_Rate (%),Max_Change_Rate (%),Max/Min_Ratio,IQR,Min_Bits,Max_Bits
hydrant,260718.05263157896,183046.8548725546,70.20873814642148,154005.93377483444,632264,73.26791368026949,555.4831554138361,23.807470391740054,199266.0,52688,1254368
stair,146386.71532846717,97162.22810405924,66.37366504606894,115521.02564102564,452008,105.29486001839861,580.4904513888889,18.31536867041753,126852.0,27016,494808
pillar,164559.96,96977.28170906009,58.93127447834825,104275.25628140704,631200,100.56441032919085,602.7340914589886,27.95477219820419,140234.0,24056,672480
road,213485.47368421053,123008.46513419456,57.61912649670473,141680.42290748897,594744,100.56694499318318,818.671620993962,23.517660356032778,157840.0,28312,665832
lab,149468.76821192054,85313.18099657416,57.077596890084095,98403.89333333333,411056,82.47475958580607,324.2755709076953,15.67380442541042,103388.0,33624,527016
grass,359204.90196078434,178552.34074198347,49.70765704123845,189814.14778325122,852656,69.9971214773852,749.9046754425783,12.45692237857467,269550.0,88120,1097704
sky,145191.3650793651,68615.49636208183,47.25866192150956,63982.382978723406,304408,50.954959770417425,292.1810130085801,9.664709944751381,83048.0,46336,447824
